case_id,panel_id,geometry_model,variant_id,curve_id,solver_model,mode_family,p,q,sample_index,b_over_A4,a,b,guided,domain_valid,kx,ky,kz,kz_normalized_against_n4,xi3,xi5,eta2,eta4
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,0,0.050000000000000003,2.3746635733906079e-07,1.187331786695304e-07,0,0,1795992.0516579906,3403727.1177270529,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,1,0.083193277310924379,3.9511209036247092e-07,1.9755604518123546e-07,0,0,1647512.8673347407,3135920.0306118852,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,2,0.11638655462184874,5.5275782338588103e-07,2.7637891169294051e-07,0,0,1521709.3264145392,2907181.4265382341,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,3,0.14957983193277313,7.1040355640929118e-07,3.5520177820464559e-07,0,0,1413755.4268041307,2709543.3617312955,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,4,0.1827731092436975,8.6804928943270123e-07,4.3402464471635062e-07,0,0,1320103.9232409361,2537066.6982679884,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,5,0.21596638655462186,1.0256950224561113e-06,5.1284751122805564e-07,0,0,1238089.0971308693,2385234.0269902847,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,6,0.24915966386554622,1.1833407554795213e-06,5.9167037773976067e-07,0,0,1165668.9386692848,2250548.2674404215,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,7,0.28235294117647058,1.3409864885029314e-06,6.7049324425146569e-07,0,0,1101252.8127305079,2130259.9930187897,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,8,0.31554621848739495,1.4986322215263414e-06,7.4931611076317072e-07,0,0,1043583.2726992388,2022177.7637696937,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,9,0.34873949579831931,1.6562779545497515e-06,8.2813897727487574e-07,0,0,991653.16092128237,1924533.4096258781,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,10,0.38193277310924367,1.8139236875731615e-06,9.0696184378658077e-07,0,0,944646.2870470928,1835884.5460145869,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,11,0.41512605042016804,1.9715694205965716e-06,9.8578471029828579e-07,0,0,901894.21477766312,1755042.8453453144,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,12,0.44831932773109245,2.1292151536199821e-06,1.064607576809991e-06,0,0,862844.27481599967,1681020.4602443522,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,13,0.48151260504201682,2.2868608866433921e-06,1.1434304433216961e-06,0,0,827035.54274819256,1612989.4563197717,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,14,0.51470588235294124,2.4445066196668026e-06,1.2222533098334013e-06,0,0,794080.5601976777,1550250.7123312766,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,15,0.5478991596638656,2.6021523526902126e-06,1.3010761763451063e-06,0,0,763651.25867028255,1492209.806568014,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,16,0.58109243697478996,2.7597980857136227e-06,1.3798990428568113e-06,0,0,735468.0003606308,1438358.1245797419,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,17,0.61428571428571432,2.9174438187370327e-06,1.4587219093685164e-06,0,0,709290.9593398592,1388257.9151873938,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,18,0.64747899159663869,3.0750895517604428e-06,1.5375447758802214e-06,0,0,684913.28006733779,1341530.364503548,nan,nan,nan,nan,nan,nan
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,19,0.68067226890756305,3.2327352847838528e-06,1.6163676423919264e-06,0,1,662155.59983917512,1297846.0000328613,9311476.0017735418,-0.21289894605614235,8.731104969482966e-07,8.731104969482966e-07,1.4484599733891531e-07,3.8975903826965607e-06
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,20,0.71386554621848741,3.3903810178072629e-06,1.6951905089036314e-06,0,1,640861.62813778594,1256916.9104799065,9318577.9957853276,-0.13730294006649607,8.6402056107524305e-07,8.6402056107524305e-07,1.4468737719499164e-07,2.4225672181388166e-06
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,21,0.74705882352941178,3.5480267508306729e-06,1.7740133754153365e-06,0,1,620894.55237634887,1218490.3926952267,9325031.4062496908,-0.068560693719436877,8.5600824202544336e-07,8.5600824202544336e-07,1.4454353324023305e-07,1.9406944054601179e-06
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,22,0.78025210084033614,3.705672483854083e-06,1.8528362419270415e-06,0,1,602134.09525030246,1182343.729406022,9330913.0017740298,-0.0058680146425994107,8.4890184586963672e-07,8.4890184586963672e-07,1.4441267342888303e-07,1.6847936195831339e-06
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,23,0.8134453781512605,3.863318216877493e-06,1.9316591084387465e-06,1,1,584474.08991889481,1148279.8696825351,9336288.5018030368,0.051464701811250492,8.4256379771018276e-07,8.4256379771018276e-07,1.4429327103268873e-07,1.5220063394670118e-06
SG-006i,SG-006i,rectangular,default,E_y_1_1,closed_form,E_y,1,1,24,0.84663865546218497,4.0209639499009039e-06,2.010481974950452e-06,1,1,567820.46973382053,1116123.8351808419,9341214.4343493544,0.10403152226528177,8.3688258985945874e-07,8.3688258985945874e-07,1.4418401859836552e-07,1.4078931286838518e-06
