a_over_b,mode_family,p,q,kz,ky,kx
0.5,E_y,1,2,9415477.0040730834,306587.64648789563,285020.01788687997
0.5,E_y,2,1,9406393.9831728507,153376.51764660288,568038.27949219313
0.55000000000000004,E_y,1,2,9416133.2304480784,306587.64648789563,262447.34953262762
0.55000000000000004,E_y,2,1,9408979.0768388584,153376.51764660288,523476.82398311782
0.59999999999999998,E_y,1,2,9416650.5216604359,306587.64648789563,243180.13433983095
0.59999999999999998,E_y,2,1,9411023.9992354587,153376.51764660288,485327.24985632102
0.65000000000000002,E_y,1,2,9417065.4460150339,306587.64648789563,226543.61676054425
0.65000000000000002,E_y,2,1,9412668.3296435345,153376.51764660288,452316.44869987282
0.69999999999999996,E_y,1,2,9417403.3042284753,306587.64648789563,212034.50269202233
0.69999999999999996,E_y,2,1,9414009.6792932171,153376.51764660288,423482.0088415388
0.75,E_y,1,2,9417682.0465031359,306587.64648789563,199269.90690465539
0.75,E_y,2,1,9415117.8301808871,153376.51764660288,398084.78675879195
0.80000000000000004,E_y,1,2,9417914.6907046288,306587.64648789563,187953.460822639
0.80000000000000004,E_y,2,1,9416043.6727251634,153376.51764660288,375548.67456999479
0.85000000000000009,E_y,1,2,9418110.862016011,306587.64648789563,177852.22967766924
0.85000000000000009,E_y,2,1,9416824.9922576752,153376.51764660288,355418.5122219784
0.90000000000000002,E_y,1,2,9418277.80029957,306587.64648789563,168780.63043363381
0.90000000000000002,E_y,2,1,9417490.3014198113,153376.51764660288,337330.21848426189
0.94999999999999996,E_y,1,2,9418421.0353217144,306587.64648789563,160588.99786324025
0.94999999999999996,E_y,2,1,9418061.4325426519,153376.51764660288,320989.2622682302
1,E_y,1,2,9418544.8492313288,306587.64648789563,153155.30628510978
1,E_y,2,1,9418555.3256924599,153376.51764660288,306154.9125999083
1.05,E_y,1,2,9418652.5995287448,306587.64648789563,146379.07711040677
1.05,E_y,2,1,9418985.2841735072,153376.51764660288,292628.55322365148
1.1000000000000001,E_y,1,2,9418746.9485957194,306587.64648789563,140176.82812823524
1.1000000000000001,E_y,2,1,9419361.8706665672,153376.51764660288,280244.89838657284
1.1499999999999999,E_y,1,2,9418830.0294334479,306587.64648789563,134478.6282945784
1.1499999999999999,E_y,2,1,9419693.5565631054,153376.51764660288,268865.30843967618
1.2000000000000002,E_y,1,2,9418903.5670843665,306587.64648789563,129225.45720821194
1.2000000000000002,E_y,2,1,9419987.1990241446,153376.51764660288,258372.64534020016
1.25,E_y,1,2,9418968.9687744118,306587.64648789563,124367.15840599127
1.25,E_y,2,1,9420248.3959690146,153376.51764660288,248667.27143330296
1.3,E_y,1,2,9419027.3916533496,306587.64648789563,119860.83642782862
1.3,E_y,2,1,9420481.753359491,153376.51764660288,239663.90687737777
1.3500000000000001,E_y,1,2,9419079.7942748368,306587.64648789563,115669.58938617576
1.3500000000000001,E_y,2,1,9420691.0886546783,153376.51764660288,231289.13891749876
1.3999999999999999,E_y,1,2,9419126.9761271793,306587.64648789563,111761.49792551092
1.3999999999999999,E_y,2,1,9420879.5872546714,153376.51764660288,223479.43101575552
1.4500000000000002,E_y,1,2,9419169.6082817446,306587.64648789563,108108.81206821144
1.4500000000000002,E_y,2,1,9421049.9239333216,153376.51764660288,216179.5189068719
1.5,E_y,1,2,9419208.2573682945,306587.64648789563,104687.29220981
1.5,E_y,2,1,9421204.3579258882,153376.51764660288,209341.1088083834
1.55,E_y,1,2,9419243.404487092,306587.64648789563,101475.67123062443
1.55,E_y,2,1,9421344.807999976,153376.51764660288,202921.81354096474
1.6000000000000001,E_y,1,2,9419275.4602437299,306587.64648789563,98455.212536249805
1.6000000000000001,E_y,2,1,9421472.9121799618,153376.51764660288,196884.27742734604
