case_id,table_entry_interpretation,row_id,article_panel_id,solver_model,a_over_b,n1,n2,n3,n4,n5,article_dimension_normalized,computed_dimension_normalized,computed_b_normalized,computed_a_normalized,computed_b_over_A4,absolute_error,relative_error,limiting_cutoff_found,limiting_cutoff_status,limiting_mode_id,limiting_mode_family,limiting_p,limiting_q,ex11_guided_just_below_cutoff,ey11_guided_just_below_cutoff
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,exact,1,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,15.300000000000001,16.56538682505489,16.56538682505489,16.56538682505489,1.4805430645315201,1.2653868250548896,0.08270502124541762,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1001,SG-006a,closed_form,1,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,15.300000000000001,17.898630998581641,17.898630998581641,17.898630998581641,1.5997026975234017,2.5986309985816405,0.16984516330598956,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,exact,1,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,4.9000000000000004,5.2831694364547728,5.2831694364547728,5.2831694364547728,1.4832050304319733,0.38316943645477242,0.078197844174443351,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1010,SG-006a,closed_form,1,1.5,1.4851485148514851,1.4851485148514851,1.4851485148514851,1.4851485148514851,4.9000000000000004,5.7062241423130029,5.7062241423130029,5.7062241423130029,1.6019740525926385,0.80622414231300255,0.16453553924755152,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,exact,1,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.25,2.4509224382042882,2.4509224382042882,2.4509224382042882,1.4946248445841799,0.20092243820428823,0.089298861424128101,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1050,SG-006a,closed_form,1,1.5,1.4285714285714286,1.4285714285714286,1.4285714285714286,1.4285714285714286,2.25,2.6428557035326952,2.6428557035326952,2.6428557035326952,1.6116698486978895,0.39285570353269517,0.17460253490342006,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1500,SG-006e,exact,1,1.5,1,1,1,1,0.92000000000000004,1.0636395826935772,1.0636395826935772,1.0636395826935772,1.5855802736415652,0.14363958269357713,0.15612998118867077,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001A-1500,SG-006e,closed_form,1,1.5,1,1,1,1,0.92000000000000004,1.1305838139355182,1.1305838139355182,1.1305838139355182,1.6853748414805285,0.21058381393551817,0.22889544992991104,1,found,E_x_1_2,E_x,1,2,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1001,SG-006b,exact,2,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,19,20.472274967730051,10.236137483865026,20.472274967730051,0.91486196606080583,1.4722749677300513,0.077488156196318492,1,found,E_x_2_1,E_x,2,1,1,1
SG-TBL-001,a_times_n1_over_lambda,SG-TBL-001B-1001,SG-006b,closed_form,2,1.5,1.4985014985014986,1.4985014985014986,1.4985014985014986,1.4985014985014986,19,21.557558286786076,10.778779143393038,21.557558286786076,0.96336094492708491,2.557558286786076,0.13460833088347768,1,found,E_x_2_1,E_x,2,1,1,1
