case_id,line_kind,line_id,mode_family,p,q,c_value,sample_index,x,y
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,47,0.021850302185030219,0.80334728033472802
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,48,0.022315202231520222,0.79916317991631802
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,49,0.022780102278010226,0.79497907949790791
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,50,0.023245002324500233,0.79079497907949792
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,51,0.023709902370990233,0.78661087866108792
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,52,0.02417480241748024,0.78242677824267781
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,53,0.024639702463970244,0.77824267782426781
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,54,0.025104602510460251,0.77405857740585771
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,55,0.025569502556950254,0.76987447698744771
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,56,0.026034402603440258,0.76569037656903771
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,57,0.026499302649930265,0.7615062761506276
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,58,0.026964202696420268,0.75732217573221761
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,59,0.027429102742910272,0.7531380753138075
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,60,0.027894002789400275,0.7489539748953975
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,61,0.028358902835890282,0.7447698744769875
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,62,0.028823802882380286,0.74058577405857751
SG-007-NOMOGRAM-001,mode,E_y_3_1,E_y,3,1,nan,63,0.029288702928870293,0.73640167364016729
