case_id,ratio_id,ratio_label,curve_id,curve_label,solver_model,transverse_equation,p,n1_over_n5,index_ratio_squared,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,0,0,0,0.92924316284511965,0.36946873251413087,0.63806722185683573,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,1,0.02,0.01,0.92924316284511965,0.36946873251413087,0.63070386303598669,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,2,0.040000000000000001,0.02,0.92924316284511965,0.36946873251413087,0.62342547810388693,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,3,0.059999999999999998,0.029999999999999999,0.92924316284511965,0.36946873251413087,0.61623108645345948,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,4,0.080000000000000002,0.040000000000000001,0.92924316284511965,0.36946873251413087,0.60911971879393001,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,5,0.10000000000000001,0.050000000000000003,0.92924316284511965,0.36946873251413087,0.6020904170202358,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,6,0.12,0.059999999999999998,0.92924316284511965,0.36946873251413087,0.59514223408394118,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,7,0.14000000000000001,0.070000000000000007,0.92924316284511965,0.36946873251413087,0.58827423386564281,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,8,0.16,0.080000000000000002,0.92924316284511965,0.36946873251413087,0.58148549104884806,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,9,0.17999999999999999,0.089999999999999997,0.92924316284511965,0.36946873251413087,0.57477509099530799,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,10,0.20000000000000001,0.10000000000000001,0.92924316284511965,0.36946873251413087,0.56814212962178956,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,11,0.22,0.11,0.92924316284511965,0.36946873251413087,0.56158571327826956,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,12,0.23999999999999999,0.12,0.92924316284511965,0.36946873251413087,0.55510495862753439,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,13,0.26000000000000001,0.13,0.92924316284511965,0.36946873251413087,0.54869899252616927,1,ok
CP-011-FIG11-001,n1_over_n5=1.5,1.5,a_over_A5=0.5,0.5,exact,eq20,1,1.5,0.44444444444444442,0.5,14,0.28000000000000003,0.14000000000000001,0.92924316284511965,0.36946873251413087,0.54236695190692086,1,ok
