wavelength,mode_family,p,q,kz_rad_per_m,ky,kx
7.9999999999999996e-07,E_y,1,1,11769482.646650851,506185.38699420693,119860.22900496467
8.1999999999999998e-07,E_y,1,1,11481966.601500137,503664.95346115949,119721.76232014527
8.4e-07,E_y,1,1,11208137.427124996,501165.05872585974,119583.59827686963
8.6000000000000002e-07,E_y,1,1,10947040.42356807,498685.42480027431,119445.73554881633
8.7999999999999994e-07,E_y,1,1,10697807.676354628,496225.78061262716,119308.17281999975
8.9999999999999996e-07,E_y,1,1,10459648.413806764,493785.86174996651,119170.90878470786
9.1999999999999998e-07,E_y,1,1,10231840.622094315,491365.41021468828,119033.94214740719
9.4e-07,E_y,1,1,10013723.730700457,488964.17418942263,118897.27162250012
9.5999999999999991e-07,E_y,1,1,9804692.2121998407,486581.90781501745,118760.89593446486
9.7999999999999993e-07,E_y,1,1,9604189.9657335058,484218.37097575353,118624.8138173646
9.9999999999999995e-07,E_y,1,1,9411705.3744630255,481873.3290980024,118489.02401520489
1.02e-06,E_y,1,1,9226766.9444974139,479546.55295222183,118353.52528136443
1.04e-06,E_y,1,1,9048939.4470172804,477237.81846970145,118218.31637885077
1.06e-06,E_y,1,1,8877820.497136848,474946.90656188846,118083.39607995958
1.08e-06,E_y,1,1,8713037.5128894113,472673.60295087914,117948.76316645894
1.1000000000000001e-06,E_y,1,1,8554245.0059572216,470417.69800582086,117814.41642913848
1.1199999999999999e-06,E_y,1,1,8401122.1626777835,468178.98658610042,117680.35466794396
1.1400000000000001e-06,E_y,1,1,8253370.679678659,465957.26789153914,117546.57669176781
1.1599999999999999e-06,E_y,1,1,8110712.823409847,463752.34531952685,117413.08131845563
1.1799999999999999e-06,E_y,1,1,7972889.6870098598,461564.02632521564,117279.86737468487
1.1999999999999999e-06,E_y,1,1,7839659.621482986,459392.12229142932,117146.93369573026
1.22e-06,E_y,1,1,7710796.8211852405,457236.44840101677,117014.27912556042
1.24e-06,E_y,1,1,7586090.0461969236,455096.82351500494,116881.90251674312
1.26e-06,E_y,1,1,7465341.4663722292,452973.07005686779,116749.80273018063
1.28e-06,E_y,1,1,7348365.6137577174,450865.01389894838,116617.97863516354
1.2999999999999998e-06,E_y,1,1,7234988.4317089375,448772.48425589531,116486.42910924637
1.3200000000000001e-06,E_y,1,1,7125046.4104495933,446695.31358140527,116355.15303819091
1.3399999999999999e-06,E_y,1,1,7018385.8000420285,444633.33746770286,116224.14931585912
1.3600000000000001e-06,E_y,1,1,6914861.8927999912,442586.39455145632,116093.41684405948
1.3799999999999999e-06,E_y,1,1,6814338.3680992126,440554.3264211184,115962.95453257124
1.3999999999999999e-06,E_y,1,1,6716686.6933457935,438536.97752855514,115832.76129905778
1.42e-06,E_y,1,1,6621785.5755658615,436534.195104543,115702.83606888267
1.44e-06,E_y,1,1,6529520.4586949842,434545.82907733781,115573.17777514915
1.46e-06,E_y,1,1,6439783.0621852931,432571.73199319898,115443.78535858198
1.48e-06,E_y,1,1,6352470.9570217645,430611.75894173037,115314.65776741927
1.5e-06,E_y,1,1,6267487.1756563736,428665.7674817802,115185.79395731245
1.5199999999999998e-06,E_y,1,1,6184739.8527358668,426733.61757259769,115057.19289138267
1.5400000000000001e-06,E_y,1,1,6104141.8938240362,424815.17150547018,114928.85353998025
1.5599999999999999e-06,E_y,1,1,6025610.6696059946,422910.29383926868,114800.77488075128
1.5800000000000001e-06,E_y,1,1,5949067.7333167391,421018.85133670166,114672.9558984615
1.5999999999999999e-06,E_y,1,1,5874438.5593617,419140.71290497307,114545.39558497444
