case_id,curve_id,curve_label,solver_model,transverse_equation,p,a_over_A5,sample_index,c_over_a,c_over_A5,kx_A5_over_pi,sqrt_one_minus_kx_A5_over_pi_squared,normalized_coupling,domain_valid,status
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,0,0,0,0.92924316284511965,0.36946873251413087,0.63806722185683573,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,1,0.02,0.01,0.92924316284511965,0.36946873251413087,0.63070386303598669,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,2,0.040000000000000001,0.02,0.92924316284511965,0.36946873251413087,0.62342547810388693,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,3,0.059999999999999998,0.029999999999999999,0.92924316284511965,0.36946873251413087,0.61623108645345948,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,4,0.080000000000000002,0.040000000000000001,0.92924316284511965,0.36946873251413087,0.60911971879393001,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,5,0.10000000000000001,0.050000000000000003,0.92924316284511965,0.36946873251413087,0.6020904170202358,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,6,0.12,0.059999999999999998,0.92924316284511965,0.36946873251413087,0.59514223408394118,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,7,0.14000000000000001,0.070000000000000007,0.92924316284511965,0.36946873251413087,0.58827423386564281,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,8,0.16,0.080000000000000002,0.92924316284511965,0.36946873251413087,0.58148549104884806,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,9,0.17999999999999999,0.089999999999999997,0.92924316284511965,0.36946873251413087,0.57477509099530799,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,10,0.20000000000000001,0.10000000000000001,0.92924316284511965,0.36946873251413087,0.56814212962178956,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,11,0.22,0.11,0.92924316284511965,0.36946873251413087,0.56158571327826956,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,12,0.23999999999999999,0.12,0.92924316284511965,0.36946873251413087,0.55510495862753439,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,13,0.26000000000000001,0.13,0.92924316284511965,0.36946873251413087,0.54869899252616927,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,14,0.28000000000000003,0.14000000000000001,0.92924316284511965,0.36946873251413087,0.54236695190692086,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,15,0.29999999999999999,0.14999999999999999,0.92924316284511965,0.36946873251413087,0.53610798366241685,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,16,0.32000000000000001,0.16,0.92924316284511965,0.36946873251413087,0.52992124453022871,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,17,0.34000000000000002,0.17000000000000001,0.92924316284511965,0.36946873251413087,0.52380590097925961,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,18,0.35999999999999999,0.17999999999999999,0.92924316284511965,0.36946873251413087,0.51776112909744409,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,19,0.38,0.19,0.92924316284511965,0.36946873251413087,0.51178611448074296,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,20,0.40000000000000002,0.20000000000000001,0.92924316284511965,0.36946873251413087,0.5058800521234208,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,21,0.41999999999999998,0.20999999999999999,0.92924316284511965,0.36946873251413087,0.50004214630958732,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,22,0.44,0.22,0.92924316284511965,0.36946873251413087,0.49427161050599278,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,23,0.46000000000000002,0.23000000000000001,0.92924316284511965,0.36946873251413087,0.4885676672560586,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,24,0.47999999999999998,0.23999999999999999,0.92924316284511965,0.36946873251413087,0.48292954807513211,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,25,0.5,0.25,0.92924316284511965,0.36946873251413087,0.47735649334694941,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,26,0.52000000000000002,0.26000000000000001,0.92924316284511965,0.36946873251413087,0.47184775222129333,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,27,0.54000000000000004,0.27000000000000002,0.92924316284511965,0.36946873251413087,0.46640258251283279,1,ok
CP-010-FIG10-EQ20,a_over_A5=0.5,0.5,exact,eq20,1,0.5,28,0.56000000000000005,0.28000000000000003,0.92924316284511965,0.36946873251413087,0.46102025060112828,1,ok
